"player","position","team","bye","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg0039","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","regTds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp","status","yahooId","fbgId","cbsId","foxId","fftId","birthdate","draftYear","mflId"
"Kenny Britt","WR","LA",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.69614285714286,,,,0,0.171428571428571,40.2842683632157,,0,0.0449793672627235,0,0,0,0,0,0,0.0309659090909091,0,0,0,"ACT",9294,"BritKe00",1115016,3924,11030,"1988-09-19 01:00:00",2009,9467
"James Casey","TE","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,,,,,0,,0,"ACT",9416,"CaseJa00",1245173,3952,11152,"1984-09-22 01:00:00",2009,9480
"Chase Coffman","TE","IND",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"UFA",9362,"CoffCh00",565753,4707,,"1986-11-10 00:00:00",2009,9454
"Jared Cook","TE","GB",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321195144724557,1,0,0,0,0,0,0,0,0,0,0,0,2.81021428571429,,,,0.1,0.204,32.6800462695199,,0,0,0,0,0,0,0,0,0.0619318181818182,0,0,0,"ACT",9353,"CookJa02",584314,3798,11089,"1987-04-07 01:00:00",2009,9474
"Michael Crabtree","WR","OAK",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.25942857142857,,,,0.1,0.5,56.4242336610758,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9274,"CrabMi00",1125838,3863,11010,"1987-09-14 01:00:00",2009,9427
"Graham Gano","K","CAR",7,0,0,0,0,0,0,0,0,1.87678571428571,0,,0.675853239139518,0.602039916093564,0.672607165920072,0.105735062435853,2.20253353204173,0.351266766020864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71485714285714,"ACT",9526,"GanoGr44",558839,3796,11369,"1987-04-09 01:00:00",2009,9694
"Rashad Jennings","RB","NYG",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132119514472456,1,0,0,0,0,0,0,0,0,0,0,0,1.99478571428571,0,0,0,0,0.0766428571428572,17.1113938692886,,0,-0.134938101788171,,,,0.1,15.2270714285714,0.515153267784847,71.3674378253326,0,0,0,"ACT",9514,"JennRa00",1251717,3759,11250,"1985-03-26 01:00:00",2009,9680
"Jordan Norwood","WR","DEN",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.29035714285714,,,,0,0.0480714285714286,15.4941584731058,,0,18.3920220082531,0,0,0,0,0,0,0.0309659090909091,0,0,0,"ACT",9705,"NorwJo00",565738,3822,,"1986-09-28 01:00:00",2009,9783
"Brandon Pettigrew","TE","DET",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.314855570839065,,,,0,0.0449793672627235,4.50331439393939,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9284,"PettBr00",517620,3726,11020,"1985-02-23 00:00:00",2009,9444
"John Phillips","TE","DEN",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,,,,0,0,2.00707142857143,,0,0.089958734525447,0,0,0,0,0,0,0,0,0,0,"ACT",9472,"PhilJo00",1117442,3846,,"1987-06-11 01:00:00",2009,9638
"Arian Foster","RB","MIA",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13734827264239,1,0,0,0,0,0,0,0,0,0,0,0,2.84628571428571,0,0,0,0,0.147928571428571,24.4057258530943,,0,0,,,,0.1,12.219,0.252071428571429,45.1377096587623,0,0,0,"ACT",9527,"FostAr00",518611,3743,11345,"1986-08-24 01:00:00",2009,9690
"Josh Freeman","QB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9281,"FreeJo00",1123282,3900,,"1988-01-13 00:00:00",2009,9460
"Shonn Greene","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,0,"ACT",9329,"GreeSh00",565750,3736,11065,"1985-08-21 01:00:00",2009,9458
"David Johnson","TE","PIT",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.244164332399627,,,,0,0,1.86042857142857,,0,0,0,0,0,0,0,0,0.089958734525447,0,0,0,"ACT",9505,"JohnDa05",1137327,3780,,"1987-08-26 01:00:00",2009,9671
"LeSean McCoy","RB","BUF",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16265172735761,1,0,0,0,0,0,0,0,0,0,0,0,2.31085714285714,0,0,0,0,0.1,17.6920763447079,,0,0,,,,0.1,15.7192142857143,0.347,61.4956043956044,0,0,0,"ACT",9317,"McCoLe01",1243187,3972,11053,"1988-07-12 01:00:00",2009,9448
"Knowshon Moreno","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,0,"UFA",9276,"MoreKn00",1114939,3885,11012,"1987-07-16 01:00:00",2009,9437
"Bear Pascoe","TE","NE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9448,"PascBe00",518905,3747,,"1986-02-23 00:00:00",2009,9615
"Cedric Peerman","RB","CIN",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451303155006859,,0,0,,,,0,0,0,0.451303155006859,0,0,0,"ACT",9449,"PeerCe00",515634,3753,11185,"1986-10-10 01:00:00",2009,9616
"Mark Sanchez","QB","DAL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,3.37927170868347,2.17142857142857,65.3945142857143,1.2078431372549,0.159477124183007,0.135760971055089,20.33,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.15266106442577,0,0.461157796451914,0.3,0,0,"ACT",9269,"SancMa00",559373,3804,11005,"1986-11-11 00:00:00",2009,9429
"Matthew Stafford","QB","DET",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167880485527544,1,,,0.8,,37.3219285714286,24.7106428571429,66.2198882142857,12.6112857142857,0.776113360323887,1.9091960670908,282.81046847889,0,0,0,0,0,0,0,,0,0,0,0,0,0,2.48157142857143,0.1,10.6556390977444,2.85502063273728,0.1,0,"ACT",9265,"StafMa00",1114942,3843,11001,"1988-02-07 00:00:00",2009,9431
"Percy Harvin","WR","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9286,"HarvPe00",1114598,3873,11022,"1988-05-28 01:00:00",2009,9441
"Darrius Heyward-Bey","WR","PIT",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.630785714285714,,,,0,0.232330827067669,12.419028340081,,0,0.854607977991747,0,0,0,0,0,0,0.237545126353791,0,0,0,"ACT",9271,"HeywDa00",564881,3768,11007,"1987-02-26 00:00:00",2009,9452
"Jeremy Maclin","WR","KC",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626517273576097,1,0,0,0,0,0,0,0,0,0,0,0,4.87214285714286,,,,0.4,0.401071428571429,62.4775592828224,,0,0.269876203576341,0,0,0,0,0.254869684499314,0,1.06960227272727,0,0,0,"ACT",9283,"MaclJe00",1123324,3901,11019,"1988-05-11 01:00:00",2009,9436
"Louis Murphy","WR","TB",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9388,"MurpLo00",564165,3791,11124,"1987-05-11 01:00:00",2009,9560
"Hakeem Nicks","WR","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9293,"NickHa00",1117392,3848,11029,"1988-01-14 00:00:00",2009,9450
"Chris Ogbonnaya","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,0,"UFA",9475,"OgboCh00",517027,3754,,"1986-05-20 01:00:00",2009,9641
"Chase Daniel","QB","PHI",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,0.273109243697479,0.135760971055089,39.0289550887022,0.13734827264239,0,0,2.07578571428571,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.203641456582633,0,0.13249299719888,0,0,0,"ACT",9678,"DaniCh00",565754,3812,11322,"1986-10-07 01:00:00",2009,9706
"Brandon Gibson","WR","NE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.123863636363636,,,,0,0,1.20767045454545,,0,1.03452544704264,0,0,0,0,0,0,0,0,0,0,"ACT",9458,"GibsBr00",1116328,3805,11194,"1987-08-13 01:00:00",2009,9625
"Brian Hoyer","QB","CHI",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,2.86946778711485,1.78926237161531,60.222978898226,1.08020541549953,0.0915966386554622,0.328428571428571,20.3826428571429,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.203641456582633,0,0.877217553688142,0.269876203576341,0,0,"ACT",9547,"HoyeBr00",517243,3735,11285,"1985-10-31 01:00:00",2009,9714
"Brandon Tate","WR","BUF",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0306616961789376,,,,0,0,0.703994293865906,,0,7.2,0,0,0,0,0,0,0,0,0,0,"ACT",9347,"TateBr00",563223,3779,11083,"1987-10-05 01:00:00",2009,9524
"Brian Hartline","WR","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9372,"HartBr00",563622,3801,11108,"1986-11-22 00:00:00",2009,9545
"Brandon Myers","TE","TB",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.739784946236559,,,,0,0.0462365591397849,7.21290322580645,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9466,"MyerBr00",1674136,3737,11202,"1985-09-04 01:00:00",2009,9632
"Antone Smith","RB","NYJ",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,"ACT",9707,"SmitAn01",1675742,3797,11673,"1985-09-17 01:00:00",2009,10067
"Ryan Succop","K","TEN",13,0,0,0,0,0,0,0,0,1.34007142857143,0,,0.299726372412342,0.481544515173037,0.58074039684001,0.099908790804114,1.20253353204173,0.151266766020864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03778571428571,"ACT",9520,"SuccRy44",1674148,3799,11256,"1986-09-19 01:00:00",2009,9686
"Falcons","DST","ATL",11,0.1,0.666642857142857,0.828857142857143,23.6208216619981,0,1.56342857142857,0.0321195144724557,0.106816059757236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0,0,"DEF",100001,"atlxxx99",,,,,,526
"Ravens","DST","BAL",8,0.1,0.662642857142857,0.749571428571429,19.8387488328665,0.1,2.73107142857143,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,0,0,0,0,0,0,0,0,0,0,"DEF",100033,"ravxxx99",,,,,,531
"Bills","DST","BUF",10,0.1,0.590142857142857,1.14378571428571,20.040522875817,0.1,1.63678571428571,0,0.069467787114846,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,0,0,0,0,0,0,0,"DEF",100002,"bufxxx99",,,,,,501
"Panthers","DST","CAR",7,0.1,0.986367880485528,1.1595,17.1626517273576,0,3.2175,0,0.205228758169935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,0,0,"DEF",100029,"carxxx99",,,,,,527
"Bears","DST","CHI",9,,0.805067064083458,0.9036,19.9126676602086,,2.8985,0,0.3978,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"DEF",100003,"chixxx99",,,,,,521
"Bengals","DST","CIN",9,0.1,0.5,1.14935714285714,22.9804855275443,0.1,2.19357142857143,0,0.106816059757236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,0,0,0,0,0,0,0,0,0,0,"DEF",100004,"cinxxx99",,,,,,506
